,Background,LL1,LL2,LL3,LL4,RL1,RL2,ANT,Apex,Base
Background,59812643,2290,1118,815,1087,3198,2398,7762,6455,5333
LL1,19991,7579,1285,0,15,0,0,0,0,0
LL2,18696,849,1901,1007,1301,0,0,0,0,0
LL3,17492,0,1289,2229,6143,0,0,0,0,0
LL4,26026,0,382,510,2554,0,0,0,0,0
RL1,13039,0,0,0,0,3778,3554,0,0,0
RL2,22783,0,0,0,0,1190,5148,0,0,0
ANT,25965,0,0,0,0,0,0,3338,0,0
Apex,24826,0,0,0,0,0,0,0,4645,0
Base,22976,0,0,0,0,0,0,0,0,5767
