class_id,class_name,dice_mean,iou_mean,centroid_dist_mean,precision,recall,f1
0,Background,,,,0.9968036697019589,0.9994910691373119,0.9981455605395174
1,LL1,0.7476110483209292,0.6087597335378329,5.899819923747626,0.707128195558873,0.26252164877034984,0.3828938062039002
2,LL2,0.3864970716337363,0.24298528333504996,10.032355333820165,0.31815899581589957,0.08002862675759873,0.12788859362911636
3,LL3,0.49087047080198926,0.327011672159036,6.403655963702225,0.4887086165314624,0.08209037675394984,0.14056883395345904
4,LL4,0.48742005477348965,0.3261607227226098,13.467873523772559,0.2300900900900901,0.0866585233441911,0.1258996352164054
5,RL1,0.49500002779434543,0.3574094186139149,5.718022029148259,0.46265001224589763,0.18545972215404252,0.2647790587658128
6,RL2,0.5662229731678963,0.40606583406527835,7.541431825068263,0.46378378378378377,0.17677964355619655,0.25598567912284625
7,ANT,0.2163297131249691,0.1325603022957541,11.023949721890489,0.3007207207207207,0.1139132512029485,0.1652352548078113
8,Apex,0.24347067253953694,0.15507991660675882,24.307421908846806,0.41846846846846847,0.15761256828746903,0.22898129205590198
9,Base,0.4028883675734202,0.2566177273790042,7.123281512593615,0.5195495495495496,0.20064015586403647,0.28948623346635544
