case_id,fg_voxels,pseudo_mean_conf,accepted,source_npz
10140_HCT2_img,78321,0.9838606715202332,1,runs\cardiac_leads_ssl\cache\unlabeled\10140_HCT2_img.npz
10141_HCT2_img,126202,0.9856084585189819,1,runs\cardiac_leads_ssl\cache\unlabeled\10141_HCT2_img.npz
10142_HCT2_img,113867,0.9851523041725159,1,runs\cardiac_leads_ssl\cache\unlabeled\10142_HCT2_img.npz
10144_HCT2_img,106800,0.9825334548950195,1,runs\cardiac_leads_ssl\cache\unlabeled\10144_HCT2_img.npz
10145_HCT2_img,101682,0.985247790813446,1,runs\cardiac_leads_ssl\cache\unlabeled\10145_HCT2_img.npz
10146_HCT2_img,86022,0.9832725524902344,1,runs\cardiac_leads_ssl\cache\unlabeled\10146_HCT2_img.npz
10149_HCT2_img,145263,0.9816328883171082,1,runs\cardiac_leads_ssl\cache\unlabeled\10149_HCT2_img.npz
10150_HCT2_img,88779,0.9846540093421936,1,runs\cardiac_leads_ssl\cache\unlabeled\10150_HCT2_img.npz
10151_HCT2_img,85744,0.9829986095428467,1,runs\cardiac_leads_ssl\cache\unlabeled\10151_HCT2_img.npz
10153_HCT2_img,108570,0.9852266311645508,1,runs\cardiac_leads_ssl\cache\unlabeled\10153_HCT2_img.npz
10154_HCT2_img,164005,0.9858378171920776,1,runs\cardiac_leads_ssl\cache\unlabeled\10154_HCT2_img.npz
10155_HCT2_img,102667,0.9847093820571899,1,runs\cardiac_leads_ssl\cache\unlabeled\10155_HCT2_img.npz
10157_HCT2_img,207101,0.9858115911483765,1,runs\cardiac_leads_ssl\cache\unlabeled\10157_HCT2_img.npz
10158_HCT2_img,105586,0.9842371344566345,1,runs\cardiac_leads_ssl\cache\unlabeled\10158_HCT2_img.npz
10159_HCT2_img,55833,0.9827779531478882,1,runs\cardiac_leads_ssl\cache\unlabeled\10159_HCT2_img.npz
10160_HCT2_img,125143,0.9850223064422607,1,runs\cardiac_leads_ssl\cache\unlabeled\10160_HCT2_img.npz
10161_HCT2_img,114734,0.9839240908622742,1,runs\cardiac_leads_ssl\cache\unlabeled\10161_HCT2_img.npz
10162_HCT2_img,116585,0.9811850190162659,1,runs\cardiac_leads_ssl\cache\unlabeled\10162_HCT2_img.npz
10163_HCT2_img,163194,0.9839761257171631,1,runs\cardiac_leads_ssl\cache\unlabeled\10163_HCT2_img.npz
10164_HCT2_img,85556,0.9811288714408875,1,runs\cardiac_leads_ssl\cache\unlabeled\10164_HCT2_img.npz
10166_HCT2_img,86902,0.9837085008621216,1,runs\cardiac_leads_ssl\cache\unlabeled\10166_HCT2_img.npz
10167_HCT2_img,86080,0.9806240200996399,1,runs\cardiac_leads_ssl\cache\unlabeled\10167_HCT2_img.npz
10168_HCT2_img,148052,0.9828696250915527,1,runs\cardiac_leads_ssl\cache\unlabeled\10168_HCT2_img.npz
10169_HCT2_img,182362,0.9829869866371155,1,runs\cardiac_leads_ssl\cache\unlabeled\10169_HCT2_img.npz
10170_HCT2_img,66882,0.9823153018951416,1,runs\cardiac_leads_ssl\cache\unlabeled\10170_HCT2_img.npz
10172_HCT2_img,208603,0.9834146499633789,1,runs\cardiac_leads_ssl\cache\unlabeled\10172_HCT2_img.npz
10173_HCT2_img,80743,0.9841917753219604,1,runs\cardiac_leads_ssl\cache\unlabeled\10173_HCT2_img.npz
10174_HCT2_img,90667,0.9777123928070068,0,runs\cardiac_leads_ssl\cache\unlabeled\10174_HCT2_img.npz
10175_HCT2_img,86630,0.9817991852760315,1,runs\cardiac_leads_ssl\cache\unlabeled\10175_HCT2_img.npz
10178_HCT2_img,153690,0.9859960675239563,1,runs\cardiac_leads_ssl\cache\unlabeled\10178_HCT2_img.npz
