stage,epoch,train_loss,val_loss,val_dice
supervised,1,3.6826905392585916,3.261753042538961,1.7951598370776385e-06
supervised,2,3.2090435941168605,3.0186674992243447,4.035284329499215e-06
supervised,3,2.8821060200955007,2.6292146841684976,1.1127689238795332e-05
supervised,4,2.548217479218828,2.391182621320089,1.9620240550466406e-05
supervised,5,2.3445963555193963,2.2082290848096213,3.8230927278467185e-05
supervised,6,2.133776517624551,2.1172115405400596,4.36851907276529e-05
supervised,7,2.079715523313969,2.079361706972122,1.7491204213608096e-05
supervised,8,2.002019765529227,2.0952096978823342,5.1812459939052737e-05
supervised,9,2.0004635237632913,2.032312661409378,3.449794985499466e-05
supervised,10,1.9869625796663,2.002461075782776,2.366645624836868e-05
supervised,11,1.9795527737191383,1.9669885039329529,5.099084743657537e-05
supervised,12,1.9206571680434206,2.004068205753962,2.8390074097236113e-05
supervised,13,1.9003645029473812,1.9230997860431671,5.303804588644804e-05
supervised,14,1.9076931273683588,1.9814568956693013,4.39936732921827e-05
supervised,15,1.9012119135958083,1.9899784525235493,4.283121173405865e-05
supervised,16,1.8643655497977074,1.9596040447552998,6.065977837958295e-05
supervised,17,1.8589978141987578,2.075257658958435,4.5588134147086144e-05
supervised,18,1.8178680653267718,1.9636753797531128,4.367687370177009e-05
supervised,19,1.853406530745486,2.026163866122564,9.119476326683677e-05
supervised,20,1.838800255288469,1.9689775208632152,6.304519865807379e-05
supervised,21,1.7899949271628197,1.9392407437165577,7.557167009508703e-05
supervised,22,1.8039037521849288,1.95387997229894,7.9311844122761e-05
supervised,23,1.812944199176545,1.9212631583213806,5.9480608797457535e-05
supervised,24,1.7891672951109865,1.9620693723360698,9.742128880437424e-05
supervised,25,1.7772372580589133,1.9357417225837708,6.578971503283053e-05
supervised,26,1.7676632607236822,1.9558140536149342,4.586716871320581e-05
supervised,27,1.76559638723414,1.9311042129993439,8.298577055635785e-05
supervised,28,1.7586353941166655,1.8973412811756134,0.0001294141141746271
supervised,29,1.7353463857731921,1.8895421028137207,0.00010793763643353789
supervised,30,1.6999036378048835,1.887506326039632,0.00014118291680157805
supervised,31,1.7290828659179363,1.9991947611172993,0.00011414946554092846
supervised,32,1.7424948266211977,1.8703505794207256,0.000113287559543096
supervised,33,1.6800287632232016,1.9466682473818462,8.861184492540512e-05
supervised,34,1.6775962114334106,1.8934624393781025,0.00010251730752012615
supervised,35,1.6885719806589978,1.8646678725878398,0.00013422434373448292
supervised,36,1.6547773467733504,1.8872908353805542,0.00016088522753913517
supervised,37,1.6651917112634538,2.0267895559469857,0.00012084949442699629
supervised,38,1.6578167575470946,1.8967250784238179,0.00011163236073722753
supervised,39,1.6802487677716194,1.9204238553841908,0.00011983520956467449
supervised,40,1.6115452101890078,1.9350138306617737,0.00017954553368326742
supervised,41,1.6303649633488757,2.006647845109304,0.00018960950304366028
supervised,42,1.671367087262742,1.9229300916194916,0.00013282414420245914
supervised,43,1.6180578622412174,1.8451881607373555,0.00015028464501180375
supervised,44,1.643985961345916,1.9013183613618214,0.00018673593028021665
supervised,45,1.576521099881923,1.8098940749963124,0.0002269354457287894
supervised,46,1.64578858842241,1.9939647912979126,0.0003123684524931984
supervised,47,1.6653644201603341,1.8665919601917267,0.00030616029380325926
supervised,48,1.5940721719822986,1.8494331339995067,0.00019125985348485605
supervised,49,1.5805424401100645,1.8829256097475688,0.00013048716770451088
supervised,50,1.550942989105874,1.8459133605162303,0.00019487661635745704
supervised,51,1.5330693468134453,1.9366110861301422,0.0001726515571742008
supervised,52,1.6077671330025856,1.8672540783882141,0.00022130850265966728
supervised,53,1.4994207164074511,1.993463973204295,0.0002519143245081068
supervised,54,1.5048848542761295,1.9016533195972443,0.0002220107865772055
supervised,55,1.5077418038185606,1.7392151753107707,0.00024266294106685868
supervised,56,1.5251815040060814,1.909290115038554,0.00022373958745447453
supervised,57,1.4960957334396687,1.825595925251643,0.0002288938473308614
supervised,58,1.4572191542767463,1.7897826035817463,0.0001650357474621463
supervised,59,1.5192318748920521,1.953321784734726,0.00023998004386764174
supervised,60,1.4479344575963122,1.809845010439555,0.0001946652813179147
supervised,61,1.5213037221989734,1.8649799327055614,0.00019152541002161647
supervised,62,1.4300524072444185,1.8932666977246602,0.0001791836654471505
supervised,63,1.4857963171411068,1.8581520020961761,0.0002815019397530705
supervised,64,1.5131117866394368,1.893022398153941,0.00015832916020978396
supervised,65,1.4920942732628355,1.8094159066677094,0.00030795564149836235
supervised,66,1.446854109459735,1.8312698304653168,0.00033702218449131277
supervised,67,1.4586647241673572,1.9817943374315898,0.00022545189919280043
supervised,68,1.43539460161899,1.824657400449117,0.00026521690354760114
supervised,69,1.4228496855877815,1.7212505241235097,0.000325073340718518
supervised,70,1.4412069980134354,1.8442625999450684,0.0001708340805635089
supervised,71,1.4393060562458444,2.0351827243963876,0.00020687049376041008
supervised,72,1.3730015957609136,1.7383028368155162,0.0004210466577205807
supervised,73,1.4124973124646125,1.807068109512329,0.0004066255908886281
supervised,74,1.3706084007912493,1.827367901802063,0.000294662565162677
supervised,75,1.3755543029054682,1.8715687195460002,0.00045735678577329963
