,Background,LL1,LL2,LL3,LL4,RL1,RL2,ANT,Apex,Base
Background,59815817,1444,1609,1685,1962,3272,2187,6287,3567,5269
LL1,18227,8691,1952,0,0,0,0,0,0,0
LL2,18424,849,3214,1080,187,0,0,0,0,0
LL3,17780,0,2381,4788,2204,0,0,0,0,0
LL4,21376,0,461,888,6747,0,0,0,0,0
RL1,12798,0,0,0,0,4810,2763,0,0,0
RL2,21284,0,0,0,0,1687,6150,0,0,0
ANT,24490,0,0,0,0,0,0,4813,0,0
Apex,21938,0,0,0,0,0,0,0,7533,0
Base,22912,0,0,0,0,0,0,0,0,5831
