class_id,class_name,centroid_dist_mean,accuracy_within_5vox,accuracy_within_10vox,accuracy_within_15vox
1,LL1,132.21762084960938,0.0,0.0,0.0
2,LL2,145.09393310546875,0.0,0.0,0.0
3,LL3,150.00750732421875,0.0,0.0,0.0
4,LL4,152.5590057373047,0.0,0.0,0.0
5,RL1,126.4090576171875,0.0,0.0,0.0
6,RL2,169.77926635742188,0.0,0.0,0.0
7,ANT,81.25423431396484,0.0,0.0,0.0
8,Apex,156.8127899169922,0.0,0.0,0.0
9,Base,115.1108169555664,0.0,0.0,0.0
