,Background,LL1,LL2,LL3,LL4,RL1,RL2,ANT,Apex,Base
Background,59816387,2038,1137,1161,1643,3599,2176,6018,3507,5433
LL1,19455,8173,1242,0,0,0,0,0,0,0
LL2,18808,849,2706,1204,187,0,0,0,0,0
LL3,18842,0,1934,3980,2397,0,0,0,0,0
LL4,21673,0,399,527,6873,0,0,0,0,0
RL1,13335,0,0,0,0,4357,2679,0,0,0
RL2,21400,0,0,0,0,1476,6245,0,0,0
ANT,24221,0,0,0,0,0,0,5082,0,0
Apex,21878,0,0,0,0,0,0,0,7593,0
Base,23076,0,0,0,0,0,0,0,0,5667
