,Background,LL1,LL2,LL3,LL4,RL1,RL2,ANT,Apex,Base
Background,59815859,1364,1312,2050,2060,3261,2091,6883,3435,4784
LL1,17416,9160,1684,446,0,0,0,164,0,0
LL2,19064,1,3428,1071,187,0,0,3,0,0
LL3,18162,0,2431,4356,2204,0,0,0,0,0
LL4,21094,0,461,1268,6649,0,0,0,0,0
RL1,12687,0,0,0,0,5004,2680,0,0,0
RL2,21121,0,0,0,0,1671,6329,0,0,0
ANT,25253,0,0,0,0,0,0,4050,0,0
Apex,21806,0,0,0,0,0,0,0,7665,0
Base,22833,0,0,0,0,0,0,0,0,5910
