class_id,class_name,dice_mean,iou_mean,centroid_dist_mean,precision,recall,f1
0,Background,,,,0.99696666474765,0.9995140458885661,0.9982387301707569
1,LL1,0.7804968406756719,0.6558309942483902,5.422401140234719,0.7437829007079325,0.2838586768271562,0.41090052146008826
2,LL2,0.5073160398751497,0.3581214590619008,9.514603203068113,0.32723888767243264,0.12583143891555107,0.18176842617368036
3,LL3,0.5243008608619372,0.3630728634695212,6.695734334530712,0.5430582213691618,0.156299488086031,0.24273621596888584
4,LL4,0.6001743351419767,0.4543770318850875,7.036327942023188,0.5875675675675676,0.22129478827361562,0.3215025140490979
5,RL1,0.48936488981283044,0.35918972522255116,5.453757019622537,0.46175637393767704,0.22404398409503706,0.3017021979838043
6,RL2,0.5517058099309603,0.39609087879459065,7.22301962532196,0.4938738738738739,0.18824902990968717,0.2725939185997365
7,ANT,0.26300512677785765,0.16288416596546285,9.529126344341462,0.4634234234234234,0.1755451660239566,0.2546345568398386
8,Apex,0.43540050523976487,0.2933629167576631,5.54200979704684,0.6404504504504505,0.2412201825523396,0.3504473638806044
9,Base,0.3942335484580561,0.27856156050228714,14.356313351000601,0.5131531531531531,0.19816998921476534,0.28592224481088274
