,Background,LL1,LL2,LL3,LL4,RL1,RL2,ANT,Apex,Base
Background,59814018,2127,1745,1572,1994,4052,2240,5956,3991,5404
LL1,18822,8195,1853,0,0,0,0,0,0,0
LL2,18628,696,2989,1172,269,0,0,0,0,0
LL3,18375,0,2219,4244,2315,0,0,0,0,0
LL4,21795,0,328,827,6522,0,0,0,0,0
RL1,12429,0,0,0,0,4564,3378,0,0,0
RL2,22371,0,0,0,0,1268,5482,0,0,0
ANT,24159,0,0,0,0,0,0,5144,0,0
Apex,22362,0,0,0,0,0,0,0,7109,0
Base,23047,0,0,0,0,0,0,0,0,5696
