,Background,LL1,LL2,LL3,LL4,RL1,RL2,ANT,Apex,Base
Background,59815112,1709,1726,1579,1982,3776,2014,6321,3476,5404
LL1,18018,8862,1990,0,0,0,0,0,0,0
LL2,19056,1,3050,1378,269,0,0,0,0,0
LL3,18323,0,2238,4313,2279,0,0,0,0,0
LL4,21591,0,328,983,6570,0,0,0,0,0
RL1,12452,0,0,0,0,5025,2894,0,0,0
RL2,21649,0,0,0,0,1280,6192,0,0,0
ANT,24524,0,0,0,0,0,0,4779,0,0
Apex,21847,0,0,0,0,0,0,0,7624,0
Base,23047,0,0,0,0,0,0,0,0,5696
