,Background,LL1,LL2,LL3,LL4,RL1,RL2,ANT,Apex,Base
Background,59629085,3909,7117,40,13325,5770,13912,103149,3,66789
LL1,3777,16796,7215,0,1080,0,0,0,2,0
LL2,3881,894,11480,12,7487,0,0,0,0,0
LL3,3120,1,7282,76,16611,63,0,0,0,0
LL4,5337,0,6152,33,17700,250,0,0,0,0
RL1,5531,0,205,45,1490,6125,6975,0,0,0
RL2,8850,0,1,2,87,4844,15337,0,0,0
ANT,13574,0,0,0,0,0,0,15729,0,0
Apex,29471,0,0,0,0,0,0,0,0,0
Base,7751,0,0,0,0,0,0,0,0,20992
