case_id,dice_Background,iou_Background,dice_LL1,iou_LL1,centroid_dist_LL1,dice_LL2,iou_LL2,centroid_dist_LL2,dice_LL3,iou_LL3,centroid_dist_LL3,dice_LL4,iou_LL4,centroid_dist_LL4,dice_RL1,iou_RL1,centroid_dist_RL1,dice_RL2,iou_RL2,centroid_dist_RL2,dice_ANT,iou_ANT,centroid_dist_ANT,dice_Apex,iou_Apex,centroid_dist_Apex,dice_Base,iou_Base,centroid_dist_Base,mean_dice_non_bg,mean_iou_non_bg,mean_dice_electrodes,mean_dice_anatomy,mean_centroid_dist_non_bg,mean_centroid_dist_electrodes,mean_centroid_dist_anatomy
10001_HCT2_img,,,0.7026696801185608,0.5416274070739746,3.608004997671224,0.2756059765815735,0.15982772409915924,5.115338322376933,0.4219687283039093,0.2674019932746887,103.11544391316987,0.34124961495399475,0.20572692155838013,18.17903690969854,0.4082793593406677,0.2565018832683563,8.724111057868695,0.6135293245315552,0.44251155853271484,3.6073378824194036,0.1091419905424118,0.05772088095545769,13.295760345865297,4.226542726915028e-10,4.226542726915028e-10,33.88583774971485,0.167151540517807,0.09119769185781479,12.41084611091247,0.3377329128125705,0.22472400678257787,0.4605504473050435,0.09209784382762436,22.437968587744145,23.72487884720078,19.864148068830872
10004_HCT2_img,,,0.7284911870956421,0.5729344487190247,1.6925264818524182,0.30907055735588074,0.18278145790100098,7.864167049443885,0.4178616404533386,0.2641119360923767,18.51572776566834,0.47237151861190796,0.3092188537120819,11.906608858597618,0.684747040271759,0.5206200480461121,2.007616297263838,0.4548841714859009,0.2944013476371765,8.442127884213107,0.020018858835101128,0.01011063065379858,20.715035439071954,3.918495250498921e-10,3.918495250498921e-10,103.22063747138941,0.42879998683929443,0.2729124128818512,4.346040758195462,0.39069388459340826,0.26967679289280805,0.5112376858790716,0.1496062820220817,19.85672088952178,8.404795722839866,42.76057122288561
10006_HCT2_img,,,0.7289274334907532,0.5734742879867554,4.169219981325235,0.2530159652233124,0.14483016729354858,4.901238237928047,0.3168467879295349,0.188245952129364,80.76285002769288,0.3827821612358093,0.23669177293777466,19.658074885848762,2.2883295258679937e-09,2.2883295258679937e-09,,0.1766153872013092,0.09686128795146942,5.075202867712505,7.091192910646527e-11,7.091192910646527e-11,31.33780043975169,3.734129949695131e-10,3.734129949695131e-10,77.290846806074,0.39336711168289185,0.24483944475650787,2.212191803129587,0.2501727610551406,0.16499365730978605,0.30969795622817475,0.13112237070907226,28.17592813118284,22.913317200101485,36.94694634965176
10015_HCT2_img,,,0.4154142439365387,0.262159526348114,4.871894863456952,0.4182240962982178,0.2644015848636627,4.729360263200509,0.3661399185657501,0.22409501671791077,4.8540884498443075,0.3119831383228302,0.18482229113578796,12.035135429743887,0.44074633717536926,0.282664954662323,87.1008700376908,0.5450486540794373,0.3746163845062256,5.395222195443884,0.23684920370578766,0.13433292508125305,6.918573073043357,2.820078892629141e-10,2.820078892629141e-10,71.5,0.20528064668178558,0.1143803596496582,11.208605244425849,0.3266318043386361,0.204608115916327,0.41625939806302387,0.14737661688986037,23.17930550631662,19.831095206563386,29.875726105823073
10017_HCT2_img,,,0.46660518646240234,0.30429553985595703,4.311556839119776,0.324528306722641,0.19369369745254517,17.461600443173698,0.3175544738769531,0.18874576687812805,9.443864329073197,0.42491236329078674,0.26977062225341797,6.010436206967122,0.4498812258243561,0.29022371768951416,0.7676401417031203,0.6726563572883606,0.5067688226699829,2.574112447394788,0.18258993327617645,0.10046710819005966,15.720576983627861,3.6114120027797014e-10,3.6114120027797014e-10,59.83519031473035,0.3568260967731476,0.21715663373470306,6.213804135676141,0.3550615493195517,0.23012465656504993,0.44268965224425,0.1798053434701551,13.593197982385115,6.761535067905284,27.25652381134478
10030_HCT2_img,,,0.8824717402458191,0.7896639108657837,2.2486884486960403,0.30592188239097595,0.18058310449123383,6.314905312161257,0.3927055299282074,0.24432705342769623,6.020797289396148,0.3340817391872406,0.20053908228874207,13.3351085922603,0.4292221963405609,0.2732545733451843,3.311062869716195,0.6060699820518494,0.43479228019714355,3.450282321849376,0.1687064915895462,0.09212421625852585,11.144093591527401,3.756573940805197e-10,3.756573940805197e-10,63.310741584663184,0.33001619577407837,0.19761641323566437,4.784683017962344,0.383243973098215,0.26810007049840345,0.49174551169077557,0.166240895913094,12.657818114248025,5.780140805679886,26.41317273138431
10043_HCT2_img,,,0.7814539670944214,0.6413003206253052,1.8833451785490276,0.30313900113105774,0.17864693701267242,5.203080744480947,0.3743659555912018,0.23028919100761414,109.84801629862042,0.5193684101104736,0.3507749140262604,10.912030938674846,0.2765491008758545,0.16046242415905,13.82311640066476,0.521297037601471,0.35253670811653137,16.78805562733743,0.30275818705558777,0.17838247120380402,3.927298546258376,3.57525925531732e-10,3.57525925531732e-10,90.37283883999662,0.24400632083415985,0.13895626366138458,11.296496548854641,0.3692153311835282,0.24792769224112757,0.46269557873408,0.18225483608242452,29.339364347048566,26.409607531387906,35.19887797836987
10055_HCT2_img,,,0.8377483487129211,0.7207977175712585,1.4801117881471104,0.2937833070755005,0.1721840500831604,3.078104035070653,0.4380553066730499,0.280455082654953,5.315072906367325,0.40891778469085693,0.25700607895851135,7.784956598456056,0.5629791617393494,0.39176830649375916,3.6310855310313004,0.647636890411377,0.4788927435874939,3.2915849708130698,0.28456103801727295,0.16588234901428223,8.25168390461865,3.8789760292701203e-10,3.8789760292701203e-10,73.8461237980708,0.6983000040054321,0.5364523530006409,2.4920496922430893,0.46355353796818416,0.3337154090835508,0.5315201332171758,0.3276203474702009,12.130085913868673,4.096819304980919,28.19661913164418
10058_HCT2_img,,,0.7467467188835144,0.5958466529846191,1.4135947001079199,0.49694952368736267,0.33062729239463806,1.0983430859118122,0.6062754988670349,0.4350038170814514,7.88986691902975,0.2996422052383423,0.1762230396270752,10.210426231215699,0.47730061411857605,0.3134568929672241,0.6758547272845306,0.6565914154052734,0.4887503385543823,9.158815122176508,0.23909413814544678,0.13577905297279358,8.745072379038573,3.9339104196400854e-10,3.9339104196400854e-10,15.588457268119896,0.4221474528312683,0.26754555106163025,3.9058636954750314,0.4383052852855789,0.30480362644857834,0.5472509960333506,0.22041386379003539,6.520699347595524,5.074483464287703,9.413131114211167
10061_HCT2_img,,,0.6612090468406677,0.49388521909713745,0.6534491118860696,0.3060941696166992,0.18070319294929504,13.55710259240918,0.5192973017692566,0.3507100045681,5.5901699437494745,0.49526455998420715,0.32913729548454285,7.771906828153642,0.6904808878898621,0.5272781848907471,5.970114518714568,0.41810089349746704,0.2643031179904938,7.362509492862461,0.3663735091686249,0.2242700606584549,6.029752007277345,4.1753653312603944e-10,4.1753653312603944e-10,81.98932857390649,0.33157220482826233,0.19873332977294922,7.5824461877874185,0.4209325082236204,0.28544671175880626,0.5150744765996933,0.23264857147147458,15.167419917416291,6.8175420812959,31.86717558965708
