class_id,class_name,dice_mean,iou_mean,centroid_dist_mean,precision,recall,f1
0,Background,,,,0.9986385616021148,0.9964237480415243,0.9975299254368816
1,LL1,0.7015079632401466,0.5573575422167778,14.813174909851222,0.7775925925925926,0.5817803948735711,0.6655835149593818
2,LL2,0.32462314640482265,0.19587340578436852,7.776824230936995,0.29098651525904895,0.4832870253431001,0.363256652849413
3,LL3,0.40840845306714374,0.25998398413260776,36.58506843817505,0.36538461538461536,0.0027989540750561633,0.005555352509045723
4,LL4,0.38687847554683685,0.24245562901099524,13.284241113339343,0.3063343717549325,0.6005700325732899,0.40572135882272037
5,RL1,0.40025701858546237,0.2700717964874794,18.107527482846297,0.35919540229885055,0.3006725246674194,0.3273388023408064
6,RL2,0.5104706361889839,0.3554399075607459,8.677744150238956,0.4233933303886926,0.5266646062978606,0.46941617568291377
7,ANT,0.21999292681584612,0.12919352910451445,12.078168818200261,0.13231211830616263,0.5367709790806402,0.212294423711542
8,Apex,3.662414931511944e-10,3.662414931511944e-10,66.67909596264253,0.0,0.0,0.0
9,Base,0.37428125739097595,0.23952214109400907,6.723000625543148,0.23914058851004202,0.7303343422746408,0.36030345679859943
