class_id,class_name,centroid_dist_mean,accuracy_within_5vox,accuracy_within_10vox,accuracy_within_15vox
1,LL1,134.62355041503906,0.0,0.0,0.0
2,LL2,146.01112365722656,0.0,0.0,0.0
3,LL3,151.9547576904297,0.0,0.0,0.0
4,LL4,154.06248474121094,0.0,0.0,0.0
5,RL1,126.34971618652344,0.0,0.0,0.0
6,RL2,137.96376037597656,0.0,0.0,0.0
7,ANT,89.25945281982422,0.0,0.0,0.0
8,Apex,151.86260986328125,0.0,0.0,0.0
9,Base,143.1694793701172,0.0,0.0,0.0
