stage,epoch,train_loss,val_loss,val_dice,val_centroid_dist,val_focus_centroid_dist,val_centroid_dist_LL2,val_centroid_dist_ANT,val_centroid_dist_Base
supervised,1,0.47721726272968534,0.6140272244811058,0.48338809609413147,7.7900213527458675,11.172900603877174,8.535350104173025,10.622275710105896,14.3610759973526
supervised,2,0.46079330621881687,0.6062309866150221,0.4901318351427714,7.8204662225864565,11.045601467291513,8.995567202568054,9.75063180923462,14.390605390071869
supervised,3,0.44772993567142083,0.6048148448268572,0.4920691599448522,8.040223836898802,11.46208213435279,9.629951675732931,10.46606214841207,14.29023257891337
supervised,4,0.4501226113197651,0.602740245560805,0.49382589757442474,7.915353644225331,11.354767375522192,9.209330876668295,10.791810711224874,14.0631605386734
supervised,5,0.44935960021424803,0.6150180498758951,0.48764947056770325,9.333676521148947,14.496912644969091,9.612805525461832,10.30229147275289,23.575640936692555
supervised,6,0.45804142191054975,0.5996681898832321,0.4958835666378339,8.10125121695024,11.204312635792625,9.4793474872907,10.12739888827006,14.006191531817118
supervised,7,0.4401775471707608,0.6128488108515739,0.4901497003932794,8.853842386492975,14.304013119803535,9.547343611717224,9.871389706929525,23.493306040763855
supervised,8,0.4528179796452218,0.5924536834160486,0.5021733269095421,8.24588974316915,11.319550375143686,9.677358031272888,9.992863337198893,14.28842975695928
supervised,9,0.4288289705489544,0.6127728745341301,0.48947060232361156,7.871639540625943,11.184842709037992,9.639745235443115,9.583067188660303,14.331715703010559
supervised,10,0.4335893557426777,0.6085715691248575,0.49449655165274936,9.047339926715251,14.001745045185089,8.906558632850647,10.131378173828125,22.967298328876495
supervised,11,0.44469368521203384,0.6128468587994576,0.4905085265636444,11.126888203400155,16.698784238762325,9.247762660185495,17.4896403948466,23.358949661254883
supervised,12,0.43418000860417144,0.6057199041048685,0.49875254680713016,8.890034299757748,14.399876164065468,9.772934277852377,10.360950410366058,23.065743803977966
