class_id,class_name,dice_mean,iou_mean,centroid_dist_mean,accuracy_within_5vox,accuracy_within_10vox,accuracy_within_15vox,precision,recall,f1
0,Background,,,,,,,0.9969943072402148,0.9995275645734858,0.9982593287637463
1,LL1,0.7676242341597875,0.6446797524889311,3.719554467862734,0.6666666666666666,1.0,1.0,0.8371273454614725,0.30443366816764805,0.44649343392008933
2,LL2,0.4936282777537902,0.3451894750081313,9.617318978296739,0.25,0.6666666666666666,0.8333333333333334,0.37546552307865927,0.14006062136903258,0.20401655679901884
3,LL3,0.528866171836853,0.3627197742462158,7.765647213095675,0.16666666666666666,0.8333333333333334,0.9166666666666666,0.5132958999894056,0.17843332228483041,0.264811980760822
4,LL4,0.6081344534953436,0.4544799476861954,6.364099134107064,0.5,0.9166666666666666,0.9166666666666666,0.628018018018018,0.23652958740499458,0.34363600512668835
5,RL1,0.4991539512396508,0.3673206503138595,5.220876738313118,0.5833333333333334,0.9166666666666666,0.9166666666666666,0.4945476575121163,0.24043984095037063,0.3235672997522709
6,RL2,0.5404705206905352,0.40020174536650854,5.747619609382778,0.3333333333333333,0.9166666666666666,1.0,0.6376576576576577,0.24305484014972012,0.35195544615996616
7,ANT,0.22887071773905332,0.14008227138965104,10.787217859591687,0.16666666666666666,0.5833333333333334,0.75,0.3754954954954955,0.14223799610961335,0.20632131277380394
8,Apex,0.3715710447480281,0.2442498536159595,6.386518516686696,0.5,0.9166666666666666,0.9166666666666666,0.6518918918918919,0.2455295035797903,0.35670799339429643
9,Base,0.38605172255696596,0.2700726024216586,14.094633157765335,0.5,0.6666666666666666,0.8333333333333334,0.5414414414414415,0.2090943881988658,0.30168411013226915
