epoch,learning_rate,train_loss,train_weighted_heatmap_loss,train_unweighted_mse,train_coord_loss,grad_norm,val_loss,val_weighted_heatmap_loss,val_unweighted_mse,val_coord_loss,mean_centroid_dist_non_bg,mean_centroid_dist_electrodes,mean_centroid_dist_anatomy,landmark_accuracy_within_5vox_non_bg,landmark_accuracy_within_10vox_non_bg,landmark_accuracy_within_15vox_non_bg,landmark_accuracy_within_10vox_electrodes,landmark_accuracy_within_15vox_electrodes
1,0.001,0.7430127859115601,0.5167178213596344,0.2531268745660782,2.262949526309967,4.4607462882995605,0.5854693055152893,0.483948290348053,0.2342638224363327,1.0152100324630737,8.062257766723633,8.062257766723633,,0.0,1.0,1.0,1.0,1.0
2,0.001,0.6176890432834625,0.4773713946342468,0.22887449711561203,1.403176486492157,2.6577844619750977,0.6001511216163635,0.41822099685668945,0.2105051577091217,1.8193013668060303,7.280109882354736,7.280109882354736,,0.0,1.0,1.0,1.0,1.0
3,0.001,0.6045799255371094,0.4124370664358139,0.20561077445745468,1.921428382396698,2.9929310083389282,0.5289466977119446,0.3734094798564911,0.18918123841285706,1.5553722381591797,9.219544410705566,9.219544410705566,,0.0,1.0,1.0,1.0,1.0
4,0.001,0.5587520599365234,0.3791337162256241,0.18371421843767166,1.7961835861206055,2.507051110267639,0.4076460599899292,0.36158275604248047,0.1702280342578888,0.46063289046287537,3.605551242828369,3.605551242828369,,1.0,1.0,1.0,1.0,1.0
5,0.001,0.5267079323530197,0.36213135719299316,0.16536179184913635,1.6457658037543297,1.7085816860198975,0.4271712601184845,0.32574528455734253,0.15102775394916534,1.014259696006775,3.605551242828369,3.605551242828369,,1.0,1.0,1.0,1.0,1.0
6,0.001,0.4044380486011505,0.32568100094795227,0.14643652737140656,0.7875704616308212,1.623310148715973,0.3496048152446747,0.2855794429779053,0.13322320580482483,0.6402537822723389,3.605551242828369,3.605551242828369,,1.0,1.0,1.0,1.0,1.0
7,0.001,0.38786377012729645,0.292259618639946,0.12825558334589005,0.9560414850711823,1.5391454696655273,0.3115028142929077,0.2514547109603882,0.1177191436290741,0.6004810929298401,3.605551242828369,3.605551242828369,,1.0,1.0,1.0,1.0,1.0
8,0.001,0.35663890838623047,0.2559913694858551,0.11559217795729637,1.0064754635095596,1.853129267692566,0.2392512410879135,0.2217942178249359,0.10312975943088531,0.17457029223442078,3.605551242828369,3.605551242828369,,1.0,1.0,1.0,1.0,1.0
9,0.001,0.27881163358688354,0.21881592273712158,0.10123059153556824,0.5999570041894913,2.0896711945533752,0.22636647522449493,0.1996551752090454,0.09233655035495758,0.26711297035217285,3.605551242828369,3.605551242828369,,1.0,1.0,1.0,1.0,1.0
10,0.001,0.25095468759536743,0.20488637685775757,0.09109169617295265,0.4606831669807434,1.7310127019882202,0.21319884061813354,0.1790679395198822,0.08382298052310944,0.3413090109825134,3.605551242828369,3.605551242828369,,1.0,1.0,1.0,1.0,1.0
11,0.001,0.2774260938167572,0.18224622309207916,0.08250810578465462,0.9517986178398132,2.943639397621155,0.20059584081172943,0.15813890099525452,0.07438001036643982,0.42456936836242676,1.4142135381698608,1.4142135381698608,,1.0,1.0,1.0,1.0,1.0
12,0.001,0.22457188367843628,0.15692216902971268,0.07345127686858177,0.6764971613883972,4.363204717636108,0.145337775349617,0.14121878147125244,0.06520286202430725,0.041189879179000854,1.4142135381698608,1.4142135381698608,,1.0,1.0,1.0,1.0,1.0
