epoch,train_loss,grad_norm,learning_rate,val_loss,mean_centroid_dist_non_bg,mean_centroid_dist_electrodes,mean_centroid_dist_anatomy,landmark_accuracy_within_5vox_non_bg,landmark_accuracy_within_10vox_non_bg,landmark_accuracy_within_15vox_non_bg,landmark_accuracy_within_10vox_electrodes,landmark_accuracy_within_15vox_electrodes
1,0.05096545215282175,0.08364726892775959,0.0003,0.09907995164394379,91.09139845106337,85.24608739217122,102.78202056884766,0.0,0.0,0.0,0.0,0.0
2,0.04124996718019247,0.03787484972013368,0.0003,0.09053594619035721,90.34352450900607,84.12427647908528,102.78202056884766,0.0,0.0,0.0,0.0,0.0
3,0.037833989597857,0.035225009235243,0.0003,0.0813210979104042,92.49639892578125,88.56245930989583,100.36427815755208,0.0,0.0,0.0,0.0,0.0
4,0.033678234451346926,0.03604606632143259,0.0003,0.07266625016927719,102.73638576931424,104.03494008382161,100.13927714029948,0.0,0.0,0.0,0.0,0.0
5,0.02778515126556158,0.04810246152596341,0.0003,0.06054545193910599,112.51447211371527,119.04170227050781,99.4600118001302,0.0,0.0,0.0,0.0,0.0
6,0.022743966947827075,0.0696413577016857,0.0003,0.05251364782452583,125.79246860080295,133.30225372314453,110.7728983561198,0.0,0.0,0.0,0.0,0.0
7,0.019690908232910767,0.0558204288697905,0.0003,0.04580267146229744,126.9863052368164,133.5541852315267,113.85054524739583,0.0,0.0,0.0,0.0,0.0
8,0.01683896795536081,0.056455735220677324,0.0003,0.04286640137434006,136.58269246419272,146.0110651652018,117.72594706217448,0.0,0.0,0.0,0.0,0.0
