stage,epoch,train_loss,val_loss,val_dice,val_centroid_dist,val_centroid_dist_LL1,val_centroid_dist_ANT
supervised,1,1.715532972457561,1.59579798579216,0.002317621634574607,62.632949581852664,66.87715975443523,67.29367733001709
supervised,2,1.463871440988906,1.329744537671407,0.003127264732029289,65.52350900349794,52.82470909754435,73.9228614171346
supervised,3,1.2620330490964524,1.1997997562090557,0.012168119651808714,79.68307464652591,99.21341387430827,76.10764090220134
supervised,4,1.1755026096993304,1.1446934342384338,0.03308833763003349,77.17694888291534,92.39191055297852,70.2151476542155
supervised,5,1.1330036711185536,1.1132723689079285,0.04570623906329274,70.55515821333285,85.2299124399821,64.74875895182292
supervised,6,1.1057531554648217,1.0913205941518147,0.06445491143191855,57.393793589539,69.94188340504964,49.09664090474447
supervised,7,1.087045946019761,1.0781196057796478,0.08427113998914137,54.07553326310936,53.86049302419027,60.61836655934652
supervised,8,1.072899671311074,1.0698144733905792,0.05064640939235687,54.8931884235806,62.52067915598551,51.3985071182251
supervised,9,1.0582784744019205,1.0543658137321472,0.08193694893270731,51.010807613531746,54.77703666687012,49.921616554260254
supervised,10,1.0477132137785568,1.0451199611028035,0.08861469260106485,49.68581546456725,46.9031457901001,60.3798770904541
supervised,11,1.033430129923719,1.0272164940834045,0.11720772211750348,45.808247575053464,41.439510663350426,35.458996852238975
supervised,12,1.0228601136106126,1.0136125981807709,0.10201092747350533,46.740142981211356,47.93254089355469,31.059077978134155
supervised,13,1.0141526562102297,1.0066302170356114,0.08292717238267262,48.03744129119096,51.61768627166748,38.4325430393219
supervised,14,0.9963036445861168,0.9951590945323309,0.10696666191021602,46.154763239401355,42.279387633005776,45.83481295903524
supervised,15,0.9815182444897104,0.9765562464793524,0.12705067855616411,44.08972557385763,36.976065476735435,40.81959056854248
supervised,16,0.9693865370243153,0.9665066202481588,0.14261921122670174,44.13195368206059,22.980728268623352,54.0615873336792
supervised,17,0.9454475311522789,0.9398246457179388,0.14868038396040598,42.475056971664785,24.454208811124165,31.423746426900227
supervised,18,0.9299383176133987,0.9235650797684988,0.1593774581948916,38.6036306961819,15.798745274543762,27.760568459828693
supervised,19,0.9156628441303334,0.9276317457358042,0.1480503830437859,40.066032537155685,22.022744009892147,25.24445080757141
supervised,20,0.8959394934329581,0.9053508390982946,0.15002107992768288,36.22484008250414,23.764122913281124,28.40163556734721
