class_id,class_name,centroid_dist_mean,accuracy_within_5vox,accuracy_within_10vox,accuracy_within_15vox
1,LL1,134.4154052734375,0.0,0.0,0.0
2,LL2,147.36773681640625,0.0,0.0,0.0
3,LL3,150.6361541748047,0.0,0.0,0.0
4,LL4,153.43484497070312,0.0,0.0,0.0
5,RL1,125.99702453613281,0.0,0.0,0.0
6,RL2,137.2151641845703,0.0,0.0,0.0
7,ANT,86.48844146728516,0.0,0.0,0.0
8,Apex,169.55604553222656,0.0,0.0,0.0
9,Base,141.5362091064453,0.0,0.0,0.0
