,voxels_Background,voxels_Background,voxels_Background,voxels_Background,voxels_LL1,voxels_LL1,voxels_LL1,voxels_LL1,voxels_LL2,voxels_LL2,voxels_LL2,voxels_LL2,voxels_LL3,voxels_LL3,voxels_LL3,voxels_LL3,voxels_LL4,voxels_LL4,voxels_LL4,voxels_LL4,voxels_RL1,voxels_RL1,voxels_RL1,voxels_RL1,voxels_RL2,voxels_RL2,voxels_RL2,voxels_RL2,voxels_ANT,voxels_ANT,voxels_ANT,voxels_ANT,voxels_Apex,voxels_Apex,voxels_Apex,voxels_Apex,voxels_Base,voxels_Base,voxels_Base,voxels_Base,foreground_voxels,foreground_voxels,foreground_voxels,foreground_voxels,background_fraction,background_fraction,background_fraction,background_fraction
,mean,min,max,sum,mean,min,max,sum,mean,min,max,sum,mean,min,max,sum,mean,min,max,sum,mean,min,max,sum,mean,min,max,sum,mean,min,max,sum,mean,min,max,sum,mean,min,max,sum,mean,min,max,sum,mean,min,max,sum
split,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
train,4980842.234042553,2936327,9426860,234099585,2297.595744680851,0,2548,107987,1962.531914893617,0,2744,92239,2147.2340425531916,0,2548,100920,2304.340425531915,0,2744,108304,1851.0212765957447,0,2548,86998,2287.446808510638,0,2548,107510,2257.0425531914893,0,2744,106081,2392.340425531915,0,2744,112440,2418.8297872340427,2366,2730,113685,19918.382978723403,9425,22200,936164,0.9957927153462971,0.99381096360659,0.9976505599498786,46.80225762127596
val,4986924.916666667,3382991,8099744,59843099,2405.8333333333335,2294,2730,28870,1979.5,1664,2366,23754,2262.75,1646,2548,27153,2456.0,2366,2744,29472,1697.5833333333333,0,2175,20371,2426.75,2366,2744,29121,2441.9166666666665,2366,2744,29303,2455.9166666666665,2366,2730,29471,2395.25,2366,2548,28743,20521.5,17584,21856,246258,0.9956124247753947,0.9940817125708976,0.9973089046493302,11.947349097304736
