stage,epoch,train_loss,val_loss,val_dice,val_centroid_dist,val_focus_centroid_dist,val_centroid_dist_LL2,val_centroid_dist_LL4,val_centroid_dist_ANT,val_centroid_dist_Apex,run,val_centroid_dist_Base,val_centroid_dist_LL1,val_centroid_dist_LL3,val_selection_score,val_worst_focus_centroid_dist
supervised,1,0.5853385024882377,0.6841200937827429,0.432890772819519,10.466812234233926,15.21374513457219,12.600882252057394,13.55810171365738,10.363640348116556,24.332356224457424,cardiac_leads_apex_recovery_v3,,,,,
supervised,2,0.5724669415900048,0.6531210740407308,0.4526169846455256,9.73512271101828,12.961837307860453,9.056479806701342,14.57990382115046,10.247192978858948,17.963772624731064,cardiac_leads_apex_recovery_v3,,,,,
supervised,3,0.5637458562850952,0.6540983865658442,0.4535643359025319,11.871758782477292,16.526516509552795,9.14996616045634,15.281370123227438,11.90698770682017,29.76774204770724,cardiac_leads_apex_recovery_v3,,,,,
supervised,4,0.5532133674367945,0.6438469539086024,0.4641575266917546,10.095942028694685,13.897805623710155,9.424691220124563,14.043388644854229,9.907063166300455,22.21607946356137,cardiac_leads_apex_recovery_v3,,,,,
supervised,5,0.5503670421052487,0.6438683768113455,0.4647540152072906,9.624777972146315,11.313291976849236,9.442980567614237,15.658067305882772,11.90330946445465,8.248810569445292,cardiac_leads_apex_recovery_v3,,,,,
supervised,6,0.5543266357259548,0.6359159499406815,0.468697818617026,9.66460425241126,12.659956599275272,8.963132381439209,12.70301902294159,10.341368317604063,18.632306675116222,cardiac_leads_apex_recovery_v3,,,,,
supervised,7,0.5391891402132968,0.6511872907479604,0.4592463026444117,10.510935831952978,13.224934389193852,10.006878117720284,16.174583156903584,11.161138653755188,15.557137628396353,cardiac_leads_apex_recovery_v3,,,,,
supervised,8,0.5417584650059963,0.6190356637040774,0.4820292815566063,9.07497055000729,10.085370858510334,9.409378210703531,14.272790352503458,10.34533723195394,6.313977638880412,cardiac_leads_apex_recovery_v3,,,,,
supervised,9,0.5232544630131823,0.648037408788999,0.4662097369631131,10.0620621525579,12.879360787570477,9.502784450848898,14.473360300064089,10.944275031487146,16.597023367881775,cardiac_leads_apex_recovery_v3,,,,,
supervised,10,0.5216927236699044,0.6382279843091965,0.4690691878398259,10.294546905491089,13.788215577602386,9.631000141302744,13.964544614156088,10.376288135846456,21.18102941910426,cardiac_leads_apex_recovery_v3,,,,,
supervised,11,0.53278545306084,0.6311922942598661,0.4781059647599856,9.469245237884698,12.248496005932491,9.37658828496933,11.0948895017306,9.774215777715048,18.748290459314983,cardiac_leads_apex_recovery_v3,,,,,
supervised,12,0.5177821859400323,0.6285259326299032,0.4754247367382049,12.03005188151642,16.244632792969547,17.10171244541804,19.400198698043823,9.445318778355915,19.0313012500604,cardiac_leads_apex_recovery_v3,,,,,
supervised,13,0.5213014825861505,0.6163068066040674,0.4842063163717587,9.114452172760611,11.814408945540588,9.950950900713602,11.704694549242657,9.355694035689035,16.246296296517055,cardiac_leads_apex_recovery_v3,,,,,
supervised,14,0.5129938182678628,0.6296162257591883,0.476930412153403,9.238898480931915,9.525565460324287,8.845076898733774,11.303962032000223,11.512163281440737,6.4410596291224165,cardiac_leads_apex_recovery_v3,,,,,
supervised,15,0.5124711242127926,0.6284622276822726,0.4754034851988156,8.259459414967782,9.211381067832312,9.606948455174765,8.397328972816467,11.540616114934286,7.300630728403727,cardiac_leads_apex_recovery_v3,,,,,
supervised,16,0.5068668184128213,0.6213353127241135,0.4806014845768611,10.157846168787392,10.960580103099346,9.71627410252889,18.693516234556835,9.98647439479828,5.446055680513382,cardiac_leads_apex_recovery_v3,,,,,
supervised,17,0.4980156846502994,0.6340089018146197,0.4724023416638374,9.276067979909756,9.27636987467607,9.044431388378143,9.913480718930565,11.605467359224956,6.542100032170613,cardiac_leads_apex_recovery_v3,,,,,
supervised,18,0.5124327553079483,0.6032106379667918,0.4934917911887169,8.544367685362145,10.202288851141931,9.48868461449941,8.477062861124674,17.217533747355144,5.6258741815884905,cardiac_leads_apex_recovery_v3,,,,,
supervised,19,0.512940673752034,0.6501646836598715,0.4658738921085993,8.92421665125423,10.70238978912433,9.278721769650778,9.135517378648125,10.77322200934092,13.622097998857498,cardiac_leads_apex_recovery_v3,,,,,
supervised,20,0.5038865753944884,0.6204738716284434,0.4802647903561592,8.328658315870497,9.315573734541733,9.5263960758845,8.99170301357905,11.870753526687622,6.873442322015762,cardiac_leads_apex_recovery_v3,,,,,
supervised,21,0.50158521406194,0.6234815493226051,0.4822910204529762,7.983924590879016,8.42952976624171,9.472824076811472,8.74442889293035,9.834731658299765,5.666134436925252,cardiac_leads_apex_recovery_v3,,,,,
supervised,22,0.5009079201424376,0.6281388327479362,0.4798716964821021,9.356266285534256,9.023834804693855,8.425391097863516,9.539306044578552,10.845977346102396,7.284664730230967,cardiac_leads_apex_recovery_v3,,,,,
supervised,23,0.4921271915131427,0.6017896806200346,0.500265767176946,8.017494893184415,8.004461710651716,8.563329041004181,6.865410486857097,10.032735268274942,6.556372046470642,cardiac_leads_apex_recovery_v3,,,,,
supervised,24,0.4967698277311122,0.5900853549440702,0.5050852497418722,7.914291764299075,7.905517019331454,9.5146035750707,7.036328474680583,9.529126266638436,5.542009760936101,cardiac_leads_apex_recovery_v3,,,,,
supervised,25,0.4967202233507278,0.602720764776071,0.4955608720580737,8.227524479782138,9.7383064776659,8.411245584487915,6.493960956732432,18.294125596682232,5.753893772761027,cardiac_leads_apex_recovery_v3,,,,,
supervised,1,0.4772172627296853,0.6140272244811058,0.4833880960941314,7.7900213527458675,11.172900603877174,8.535350104173025,,10.622275710105896,,cardiac_leads_base_ant_ll2_v4,14.3610759973526,,,,
supervised,2,0.4607933062188168,0.6062309866150221,0.4901318351427714,7.820466222586456,11.045601467291512,8.995567202568054,,9.75063180923462,,cardiac_leads_base_ant_ll2_v4,14.390605390071867,,,,
supervised,3,0.4477299356714208,0.6048148448268572,0.4920691599448522,8.040223836898802,11.46208213435279,9.629951675732933,,10.46606214841207,,cardiac_leads_base_ant_ll2_v4,14.29023257891337,,,,
supervised,4,0.4501226113197651,0.602740245560805,0.4938258975744247,7.915353644225331,11.354767375522192,9.209330876668297,,10.791810711224874,,cardiac_leads_base_ant_ll2_v4,14.0631605386734,,,,
supervised,5,0.449359600214248,0.6150180498758951,0.4876494705677032,9.333676521148949,14.496912644969091,9.612805525461832,,10.30229147275289,,cardiac_leads_base_ant_ll2_v4,23.575640936692555,,,,
supervised,6,0.4580414219105497,0.5996681898832321,0.4958835666378339,8.10125121695024,11.204312635792624,9.4793474872907,,10.12739888827006,,cardiac_leads_base_ant_ll2_v4,14.006191531817118,,,,
supervised,7,0.4401775471707608,0.6128488108515739,0.4901497003932794,8.853842386492975,14.304013119803535,9.547343611717224,,9.871389706929524,,cardiac_leads_base_ant_ll2_v4,23.49330604076385,,,,
supervised,8,0.4528179796452218,0.5924536834160486,0.5021733269095421,8.24588974316915,11.319550375143686,9.677358031272888,,9.992863337198893,,cardiac_leads_base_ant_ll2_v4,14.28842975695928,,,,
supervised,9,0.4288289705489544,0.6127728745341301,0.4894706023236115,7.871639540625943,11.184842709037992,9.639745235443115,,9.583067188660303,,cardiac_leads_base_ant_ll2_v4,14.33171570301056,,,,
supervised,10,0.4335893557426777,0.6085715691248575,0.4944965516527493,9.047339926715251,14.001745045185087,8.906558632850647,,10.131378173828123,,cardiac_leads_base_ant_ll2_v4,22.967298328876492,,,,
