,Background,LL1,LL2,LL3,LL4,RL1,RL2,ANT,Apex,Base
Background,59814888,1994,1252,1592,2088,3585,1936,7118,3366,5280
LL1,18201,8587,2082,0,0,0,0,0,0,0
LL2,19012,1,3087,1385,269,0,0,0,0,0
LL3,18382,0,2316,4121,2334,0,0,0,0,0
LL4,22076,0,399,588,6409,0,0,0,0,0
RL1,13586,0,0,0,0,4708,2077,0,0,0
RL2,20591,0,0,0,0,1443,7087,0,0,0
ANT,25321,0,0,0,0,0,0,3982,0,0
Apex,21737,0,0,0,0,0,0,0,7734,0
Base,22923,0,0,0,0,0,0,0,0,5820
