class_id,class_name,dice_mean,iou_mean,centroid_dist_mean,accuracy_within_5vox,accuracy_within_10vox,accuracy_within_15vox,precision,recall,f1
0,Background,,,,,,,0.9969693508396468,0.9995285839057232,0.9982473270820109
1,LL1,0.7661667664845785,0.6403736248612404,4.1464237064140645,0.6666666666666666,1.0,1.0,0.8114723114723115,0.29743678559057846,0.4353137990469432
2,LL2,0.48837681595856947,0.33985885671184707,9.42143835223949,0.4166666666666667,0.6666666666666666,0.8333333333333334,0.3378940455341506,0.12995705986360193,0.18771663119489207
3,LL3,0.5167640869816145,0.35142549127340317,6.613533747332635,0.25,0.9166666666666666,1.0,0.5361696591204788,0.15176960188561117,0.2365739544763053
4,LL4,0.5918951680262884,0.43909054063260555,7.208111081213782,0.4166666666666667,0.8333333333333334,0.9166666666666666,0.5773873873873874,0.21746064060803474,0.31593216996943707
5,RL1,0.4951616035675935,0.3629789514368705,5.508615635452515,0.6666666666666666,0.8333333333333334,0.9166666666666666,0.4835661462612983,0.23111285651170782,0.3127511874314944
6,RL2,0.5372780934328385,0.3950492591018029,5.771978460850188,0.4166666666666667,0.8333333333333334,1.0,0.6384684684684685,0.24336389547062257,0.35240297357102013
7,ANT,0.2423655917403723,0.14974384084357573,10.950988530958282,0.16666666666666666,0.5833333333333334,0.75,0.35873873873873874,0.1358905231546258,0.19711407568744896
8,Apex,0.37548477451006573,0.24327481041351953,5.026284900385994,0.5,1.0,1.0,0.6967567567567567,0.2624274710732585,0.3812575484952306
9,Base,0.3841935254023187,0.2681910042351199,14.197604415641168,0.5,0.5833333333333334,0.8333333333333334,0.5243243243243243,0.202484083081098,0.2921466757021309
