,Background,LL1,LL2,LL3,LL4,RL1,RL2,ANT,Apex,Base
Background,59550882,0,12,0,14,2820,14178,220076,24045,31072
LL1,2670,0,10,0,157,0,0,26033,0,0
LL2,2267,0,8,0,63,0,0,21404,12,0
LL3,1934,0,66,0,372,30,0,24751,0,0
LL4,3691,0,11,0,322,103,9,25336,0,0
RL1,4457,0,0,0,0,2218,13693,3,0,0
RL2,9519,0,0,0,0,24,19578,0,0,0
ANT,8629,0,0,0,0,0,0,20674,0,0
Apex,13615,0,0,0,0,0,0,0,15856,0
Base,10900,0,0,0,0,0,0,0,0,17843
