class_id,class_name,dice_mean,iou_mean,centroid_dist_mean,precision,recall,f1
0,Background,,,,0.9990323202551902,0.9951169474027406,0.9970707900483562
1,LL1,0.36860722303390503,0.2277462234099706,28.38203902646734,0.0,0.0,0.0
2,LL2,0.3050825347503026,0.18066054582595825,13.189641642100993,0.07476635514018691,0.00033678538351435545,0.0006705502703155777
3,LL3,0.3730279554923375,0.23015704626838365,8.662795322707838,0.0,0.0,0.0
4,LL4,0.3417208418250084,0.20820261289676031,17.90070843515181,0.34698275862068967,0.010925624321389793,0.02118421052631579
5,RL1,0.5147406210845066,0.37887081072681666,21.195777617768353,0.426948989412897,0.10888027097344263,0.17351169522021434
6,RL2,0.4755563959479332,0.3196963779628277,6.704719969570071,0.4125331872392431,0.6722983414031112,0.5113151124982045
7,ANT,0.11639697104692459,0.062100969875852265,37.40598960102922,0.06111559461624645,0.7055250315667337,0.11248707764296208
8,Apex,0.4459583734693168,0.3060310973695952,8.284464067270052,0.39726404930724324,0.5380204268603034,0.4570506168569123
9,Base,0.4429399280343205,0.2966889057618876,7.822793084480298,0.36477563119697437,0.6207772327175313,0.4595276726158284
